No.;Time;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
383;142,763059;;142,763059;142,816364;0,053305;;-0,011386;0,064543;0,075929
384;142,816364;;142,816364;142,881055;0,064691;;0,064543;-0,000526;-0,065069
385;142,881055;;142,881055;142,881203;0,000148;;-0,000526;0,000674;0,0012
386;142,881203;;142,881203;142,881877;0,000674;;0,000674;-0,000135;-0,000809
387;142,881877;;142,881877;142,881877;0;;-0,000135;-0,005217;-0,005082
388;142,881877;;142,881877;142,882012;0,000135;;-0,005217;0,005352;0,010569
389;142,882012;;142,882012;142,887364;0,005352;;0,005352;-0,000163;-0,005515
390;142,887364;;142,887364;142,887364;0;;-0,000163;-3,30E-05;0,00013
391;142,887364;;142,887364;142,887527;0,000163;;-3,30E-05;-0,008881;-0,008848
392;142,887527;;142,887527;142,887723;0,000196;;-0,008881;0,009077;0,017958
393;142,887723;;142,887723;142,8968;0,009077;;0,009077;-0,000152;-0,009229
394;142,8968;;142,8968;142,8968;0;;-0,000152;-0,000137;1,50E-05
395;142,8968;;142,8968;142,896952;0,000152;;-0,000137;0,000201;0,000338
396;142,896952;;142,896952;142,897241;0,000289;;0,000201;-0,075549;-0,07575
397;142,897241;;142,897241;142,897329;8,80E-05;;-0,075549;0,075248;0,150797
398;142,897329;;142,897329;142,972966;0,075637;;0,075248;-0,308447;-0,383695
399;142,972966;;142,972966;142,973355;0,000389;;-0,308447;0,308836;0,617283
400;142,973355;;142,973355;143,282191;0,308836;;0,308836;-0,00033;-0,309166
401;143,282191;;143,282191;143,282191;0;;-0,00033;0,00025;0,00058
402;143,282191;;143,282191;143,282521;0,00033;;0,00025;-0,008797;-0,009047
403;143,282521;;143,282521;143,282601;8,00E-05;;-0,008797;0,008561;0,017358
404;143,282601;;143,282601;143,291478;0,008877;;0,008561;-0,079043;-0,087604
405;143,291478;;143,291478;143,291794;0,000316;;-0,079043;0,043388;0,122431
406;143,291794;;143,291794;143,371153;0,079359;;0,043388;0,035869;-0,007519
410;143,371153;;143,371153;143,407124;0,035971;;0,035869;-0,000141;-0,03601
412;143,407124;;143,407124;143,407226;0,000102;;-0,000141;-0,044906;-0,044765
413;143,407226;;143,407226;143,407469;0,000243;;-0,044906;0,04298;0,087886
